File,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetch-misses,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses
500.perlbench_r.test,1.04277E+11,1.66571E+11,513202402,7204486,31382229041,603109066,78029,31473641312,603948216,49383291712,963952292,28486050547,197002734,190927255,1551591384,305232847,4273823,23975061,4019300,3037534,49054182434,31688462,28225936193,3075759,27131584,3343526
502.gcc_r.test,1.57254E+11,2.23677E+11,1585073409,34965062,49189543229,1179795320,372716,49335655886,1175587308,59759006261,3113432866,30139123986,664804625,899518377,1137218962,1259758191,14257889,176678071,21943728,9156418,60074328760,249857762,30595100283,23206223,24036097,11090609
505.mcf_r.test,2.20964E+11,1.51105E+11,6247174797,608992392,36198588320,3123203823,162896,36251575010,3119451355,54843318414,9443545209,12122368994,855580900,1922704676,23555547,6350988186,755800384,329248808,60930959,295914479,55220854431,520942993,12386337160,37412622,455835,664142
520.omnetpp_r.test,2.24847E+11,1.37875E+11,2840076940,538102103,29143802290,666134765,86092,29079637322,665685067,44179116051,4357166751,22096459609,1324217552,447952790,127410738,2556195440,501376166,195111483,41211356,124251857,44386593982,943211930,22195691656,90794010,50352434,6926323
523.xalancbmk_r.test,1.70596E+11,2.78406E+11,360896918,16720617,66160903621,616562655,125643,66379665440,617925463,92466244179,1319555415,49915120767,471278603,261289087,980631797,154067806,11113560,40920001,7221504,4834094,92228079809,15832546,50091957307,23032633,213426479,4187756
525.x264_r.test,1.63223E+11,4.57219E+11,339103113,22027214,37597895727,505077197,59463,37545888735,508334337,87109028537,1260695450,19960998509,149718881,628571822,325989053,241305384,17231799,24294160,9549766,17730029,86467799572,36524782,19973064826,3614555,263087,496034
531.deepsjeng_r.test,2.18294E+11,3.43122E+11,482676326,322385255,50507799280,1560967958,190652,50622984060,1565178399,87005211419,1059326369,39128992792,373453213,231062395,120616825,319015878,183665632,132299476,101500308,1127041,86326164966,75281836,38916875171,5867262,545238,589077
541.leela_r.test,2.95287E+11,3.91305E+11,258946498,689336,68550716412,5153769677,23362,68529230868,5153918524,1.03861E+11,1301232346,42988449721,282192312,259377767,30024082,189057109,1149613,69513037,1019039,300219,1.03551E+11,12990514,42978619791,2305690,564403,434260
557.xz_r.test,1.24818E+11,1.46067E+11,721103554,118622768,20508359034,1128297661,459915,20481096737,1130610291,33963013164,1359308903,11222707072,566395793,207888124,24646259,642870634,77154013,63620439,34067092,5877552,33766255888,322878354,11344655778,21092394,155028,753752
600.perlbench_s.test,1.03828E+11,1.67378E+11,455578227,9099965,31295726808,600219739,77908,31336460680,599775707,49347103470,893639310,28126071141,206868021,187521019,1591946547,283239633,3133198,21347326,3610062,4030063,48677043087,28679089,27995714068,3871555,29161051,5272492
