program,f01_totalBasicBlocks,f02_oneSuccessor,f03_twoSuccessor,f04_greaterTwoSuccessor,f05_onePredecessor,f06_twoPredecessor,f07_greaterTwoPredecessor,f08_onePredSuc,f09_onePred_twoSuc,f10_twoPred_oneSuc,f11_twoPredSuc,f12_greaterTwoPredSuc,f13_instructionLess15,f14_instructionInterval,f15_instructionGreater500,f16_numOfEdges,f17_numOfCriticalEdges,f18_abnormalEdge,f19_directCalls,f20_condBranch,f21_assigmentInstructions,f22_uncondBranch,f23_numOfIntOperations,f24_numOfFloatOperations,f25_numInstructions,f26_instructionAverage,f27_averagePhi,f28_averagePhiArgs,f29_blockWithoutPhi,f30_blockPhiIntervalNodes,f31_blockPhiGreater3Nodes,f32_blocksPhiGreater5Arg,f33_blocksPhiIntervalArg,f34_numOfSwitchInstruction,f35_numOfUnaryOperations,f36_ptrArithmetic,f37_indirectRefs,f38_addresVar,f39_addressFunction,f40_indirectCalls,f41_leftOpIntConst,f42_oneOperandConst,f43_callArgPtrType,f44_call4args,f45_ptrRetCallType,f46_intRetCallType,f47_constInt0,f48_constInt32bits,f49_constInt1,f50_constInt64bits,f51_numRefeOfLocalVar,f52_defUseCounter,f53_refLocalVariable,f54_refExterVariable,f55_localPtrVar,f56_staticPtrVar
510.parest_r,78675,24753,45340,591,46110,21775,7113,18242,24013,4624,14826,40,74243,4429,3,117730,46867,14367,36270,30973,293370,24753,40025,3965,426630,27641.14643,583.119288,4791.772169,63142,78038,637,2456,13077,591,905,0,12363,7083,16,1452,4253,25620,30648,222,2666,1982,75384,75680,40987,99485,478294,5251,291204,3237,125004,0
526.blender_r,272162,86684,146871,3570,137928,72323,27088,67640,68157,12673,50939,282,253888,18267,7,398639,174027,99,179154,146772,1180840,86684,104838,35323,1694156,266011.9099,3595.011291,28533.86427,217799,269345,2817,9899,44464,3570,3109,0,34679,15592,7146,16674,12411,78112,145209,13491,34048,23932,338717,388905,110656,384758,1798585,56813,1170032,39958,509222,11015
557.xz_r,3309,1274,1755,49,1897,899,307,1004,847,197,632,1,2969,340,0,5144,1973,0,1059,1755,17787,1274,4516,0,23940,1305.779432,52.332275,453.661991,2388,3168,141,320,601,49,0,0,227,126,38,58,370,2561,631,70,67,633,3959,6138,1674,5753,29571,390,17646,178,4353,27
631.deepsjeng_s,2331,819,1385,38,1387,601,255,683,674,87,480,3,2124,207,0,3749,1543,0,905,1385,12066,819,3365,24,15871,784.266724,21.14934,168.434029,1703,2303,28,103,525,38,0,0,1,1,0,0,203,1878,597,94,14,547,3033,3862,913,3438,17902,917,12023,343,1950,4
619.lbm_s,121,44,52,5,53,49,4,22,16,13,30,1,106,15,0,163,66,0,177,52,1737,44,361,421,2011,341.293433,5.416025,20.357143,91,119,2,2,28,5,8,0,8,6,0,0,25,334,80,4,4,29,99,90,97,493,2582,46,1714,23,330,26
620.omnetpp_s,49282,17130,23144,718,29093,11269,3602,13597,12414,2546,6048,14,47974,1308,0,67117,20894,6306,27806,16838,136109,17130,6055,386,217001,23809.51804,605.160694,6210.412592,42084,49105,177,732,6466,718,14,0,6413,4830,3,6703,2431,3905,23735,515,7784,6917,33795,35764,12881,46400,207927,13187,132275,8415,78609,1656
541.leela_r,3096,1023,1715,24,1746,864,264,776,878,160,575,0,2929,167,0,4527,1758,290,1485,1425,10959,1023,1538,25,16436,1731.139832,41.809782,276.950458,2534,3075,21,123,439,24,1,0,459,354,0,42,173,878,1305,14,120,300,3935,3771,1525,4185,17429,222,10892,139,4283,8
525.x264_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641.leela_s,3096,1023,1715,24,1746,864,264,776,878,160,575,0,2929,167,0,4527,1758,290,1485,1425,10959,1023,1538,25,16436,1731.139832,41.809782,276.950458,2534,3075,21,123,439,24,1,0,459,354,0,42,173,878,1305,14,120,300,3935,3771,1525,4185,17429,222,10892,139,4283,8
602.gcc_s,302500,96865,185651,8819,181975,78150,31409,71050,107070,18119,53503,1344,294991,7503,6,537830,258990,0,159624,185651,1047744,96865,121066,114,1472031,70569.22779,2190.959447,23865.65106,244608,300472,2028,9856,48036,8819,1,0,34094,27435,249,3437,12368,99150,141629,7600,47095,58086,275659,457778,125074,245600,1458342,119507,1033996,38577,409539,24527
605.mcf_s,767,209,526,2,392,252,95,138,251,37,201,0,694,73,0,1268,667,0,204,526,3655,209,704,2,4979,183.262283,11.573587,56.209679,510,754,13,86,171,2,0,0,129,121,0,33,104,409,141,6,24,145,608,509,337,1353,6471,70,3611,45,1304,19
511.povray_r,25713,10649,13174,506,15438,6756,2207,8156,6994,1482,4561,35,23673,2040,0,41545,15458,111,20580,13063,122032,10649,9627,8053,170203,16799.96461,303.573667,2415.287237,20384,25309,404,1267,4062,506,932,0,2368,1390,31,211,1632,7700,11287,687,1715,3996,26383,32448,13053,36941,202019,11785,119957,3498,33732,1485
623.xalancbmk_s,120622,33409,66674,782,69650,31364,8996,24154,36453,6671,20485,37,115056,5566,0,170667,67608,18867,40636,47807,426641,33409,32380,179,623818,50030.98332,1332.815357,9997.57568,96778,120456,166,3716,20128,782,1,0,25326,17819,0,13921,6717,24942,37267,1370,11879,5917,105351,107569,42089,142804,639144,14740,423538,7623,248482,1535
657.xz_s,3309,1274,1755,49,1897,899,307,1004,847,197,632,1,2969,340,0,5144,1973,0,1059,1755,17787,1274,4516,0,23940,1305.779432,52.332275,453.661991,2388,3168,141,320,601,49,0,0,227,126,38,58,370,2561,631,70,67,633,3959,6138,1674,5753,29571,390,17646,178,4353,27
600.perlbench_s,76290,29066,43364,1768,48181,18361,7721,22006,25033,4902,12166,131,73587,2700,3,126456,49209,0,29833,43364,280294,29066,42415,173,393728,15396.78426,484.615729,4898.642179,60653,75492,798,3314,12323,1768,22,0,9873,8181,68,427,2996,31847,24416,1983,10453,7094,65107,93057,20970,70625,430826,24958,277230,11888,115912,10469
519.lbm_r,121,44,52,5,53,49,4,22,16,13,30,1,106,15,0,163,66,0,177,52,1737,44,361,421,2011,341.293433,5.416025,20.357143,91,119,2,2,28,5,8,0,8,6,0,0,25,334,80,4,4,29,99,90,97,493,2582,46,1714,23,330,26
538.imagick_r,34887,13052,20204,494,20092,10762,3016,10173,9575,2043,8118,68,32818,2068,1,56723,23579,0,26568,20204,163989,13052,15366,8199,217465,6070.171508,249.415627,2039.303298,26071,34209,678,2119,6697,494,383,0,3738,3525,32,209,2580,11361,20288,2917,8856,8049,33118,32974,14618,49373,258544,9620,157467,5143,50704,408
520.omnetpp_r,49282,17130,23144,718,29093,11269,3602,13597,12414,2546,6048,14,47974,1308,0,67117,20894,6306,27806,16838,136109,17130,6055,386,217001,23809.51804,605.160694,6210.412592,42084,49105,177,732,6466,718,14,0,6413,4830,3,6703,2431,3905,23735,515,7784,6917,33795,35764,12881,46400,207927,13187,132275,8415,78609,1656
625.x264_s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544.nab_r,3525,1295,2045,84,1932,1164,355,950,934,255,821,10,3340,185,0,5784,2557,0,1703,2045,14530,1295,2227,462,20121,436.784773,25.82797,143.653063,2611,3476,49,209,705,84,58,0,530,262,0,5,252,1697,976,99,335,618,2695,3450,1125,3255,23185,1239,14143,346,4512,407
644.nab_s,3525,1295,2045,84,1932,1164,355,950,934,255,821,10,3340,185,0,5784,2557,0,1703,2045,14530,1295,2227,462,20121,436.784773,25.82797,143.653063,2611,3476,49,209,705,84,58,0,530,262,0,5,252,1697,976,99,335,618,2695,3450,1125,3255,23185,1239,14143,346,4512,407
638.imagick_s,34887,13052,20204,494,20092,10762,3016,10173,9575,2043,8118,68,32818,2068,1,56723,23579,0,26568,20204,163989,13052,15366,8199,217465,6070.171508,249.415627,2039.303298,26071,34209,678,2119,6697,494,383,0,3738,3525,32,209,2580,11361,20288,2917,8856,8049,33118,32974,14618,49373,258544,9620,157467,5143,50704,408
523.xalancbmk_r,120622,33409,66674,782,69650,31364,8996,24154,36453,6671,20485,37,115056,5566,0,170667,67608,18867,40636,47807,426641,33409,32380,179,623818,50030.98332,1332.815357,9997.57568,96778,120456,166,3716,20128,782,1,0,25326,17819,0,13921,6717,24942,37267,1370,11879,5917,105351,107569,42089,142804,639144,14740,423538,7623,248482,1535
531.deepsjeng_r,2331,819,1385,38,1387,601,255,683,674,87,480,3,2124,207,0,3749,1543,0,905,1385,12066,819,3365,24,15871,784.266724,21.14934,168.434029,1703,2303,28,103,525,38,0,0,1,1,0,0,203,1878,597,94,14,547,3033,3862,913,3438,17902,917,12023,343,1950,4
500.perlbench_r,76290,29066,43364,1768,48181,18361,7721,22006,25033,4902,12166,131,73587,2700,3,126456,49209,0,29833,43364,280294,29066,42415,173,393728,15396.78426,484.615729,4898.642179,60653,75492,798,3314,12323,1768,22,0,9873,8181,68,427,2996,31847,24416,1983,10453,7094,65107,93057,20970,70625,430826,24958,277230,11888,115912,10469
502.gcc_r,302500,96865,185651,8819,181975,78150,31409,71050,107070,18119,53503,1344,294991,7503,6,537830,258990,0,159624,185651,1047744,96865,121066,114,1472031,70569.22779,2190.959447,23865.65106,244608,300472,2028,9856,48036,8819,1,0,34094,27435,249,3437,12368,99150,141629,7600,47095,58086,275659,457778,125074,245600,1458342,119507,1033996,38577,409539,24527
508.namd_r,18181,6595,11222,201,9865,5373,2821,5111,4652,429,4768,1,15336,2845,0,29899,13439,112,7559,11110,148215,6595,23271,7877,178646,1111.676144,74.361394,238.128047,11299,17000,1181,2358,4524,201,134,0,1530,1383,86,14,3587,18812,2457,275,773,1009,21520,22499,14702,34829,245291,2083,148104,1293,41051,571
505.mcf_r,767,209,526,2,392,252,95,138,251,37,201,0,694,73,0,1268,667,0,204,526,3655,209,704,2,4979,183.262283,11.573587,56.209679,510,754,13,86,171,2,0,0,129,121,0,33,104,409,141,6,24,145,608,509,337,1353,6471,70,3611,45,1304,19
