program,f01_totalBasicBlocks,f02_oneSuccessor,f03_twoSuccessor,f04_greaterTwoSuccessor,f05_onePredecessor,f06_twoPredecessor,f07_greaterTwoPredecessor,f08_onePredSuc,f09_onePred_twoSuc,f10_twoPred_oneSuc,f11_twoPredSuc,f12_greaterTwoPredSuc,f13_instructionLess15,f14_instructionInterval,f15_instructionGreater500,f16_numOfEdges,f17_numOfCriticalEdges,f18_abnormalEdge,f19_directCalls,f20_condBranch,f21_assigmentInstructions,f22_uncondBranch,f23_numOfIntOperations,f24_numOfFloatOperations,f25_numInstructions,f26_instructionAverage,f27_averagePhi,f28_averagePhiArgs,f29_blockWithoutPhi,f30_blockPhiIntervalNodes,f31_blockPhiGreater3Nodes,f32_blocksPhiGreater5Arg,f33_blocksPhiIntervalArg,f34_numOfSwitchInstruction,f35_numOfUnaryOperations,f36_ptrArithmetic,f37_indirectRefs,f38_addresVar,f39_addressFunction,f40_indirectCalls,f41_leftOpIntConst,f42_oneOperandConst,f43_callArgPtrType,f44_call4args,f45_ptrRetCallType,f46_intRetCallType,f47_constInt0,f48_constInt32bits,f49_constInt1,f50_constInt64bits,f51_numRefeOfLocalVar,f52_defUseCounter,f53_refLocalVariable,f54_refExterVariable,f55_localPtrVar,f56_staticPtrVar
510.parest_r,98169,28997,41568,104,60397,13690,2788,23133,28627,3926,6914,3,92454,5710,5,112665,29693,30775,56298,10671,354056,28997,8475,5994,551152,202602.8999,87.828827,1150.642857,97367,98169,0,4,798,226,1373,0,53350,16004,17,957,1036,5734,50192,552,16890,6560,92778,103274,18521,30257,521221,5886,346545,4490,234076,0
526.blender_r,334784,170023,115626,1416,186258,89483,11645,122579,59144,38187,35815,47,291877,42892,15,412326,70944,316,150171,115191,1905011,170020,66432,26828,2673224,600667.767,953.412938,10823.21834,324832,334784,0,38,9914,1538,2683,0,193362,89642,7148,10299,7362,52407,129385,14440,33388,24400,593489,789260,93591,199159,2644389,46425,1891893,35799,1253370,7960
557.xz_r,4657,2798,1461,26,3143,999,166,2185,881,493,400,3,3818,839,0,5933,788,0,932,1461,29827,2798,3830,0,39695,3845.499284,5.969788,103,4560,4657,0,0,97,26,0,0,1043,276,45,44,279,2180,738,91,89,552,8190,12061,1930,3671,42021,322,29649,189,13994,44
631.deepsjeng_s,3693,1968,1610,5,2291,1131,162,1284,982,596,499,0,3370,323,0,5223,1059,0,828,1610,18957,1968,2757,35,25523,1365.060639,0.20469,14.111111,3677,3693,0,0,16,5,0,0,267,133,0,0,229,1624,580,165,121,499,4103,6067,920,2345,26746,816,18901,353,6327,5
619.lbm_s,200,105,71,0,126,51,4,82,29,10,34,0,173,22,5,247,38,0,205,71,5846,105,1183,660,6450,631.350341,0.25,2,199,200,0,0,1,0,51,0,47,18,0,0,620,975,62,4,4,26,291,1130,78,376,7863,41,5824,25,1491,22
620.omnetpp_s,52384,20902,17306,392,31081,8670,1731,16398,10449,3360,2921,3,48971,3413,0,58598,9478,6936,31163,10164,197246,20530,3811,287,309056,83144.57337,149.159748,1803.738094,51121,52384,0,1,1262,970,14,0,30784,11061,2,6086,2087,2442,27263,323,12669,6773,35231,49452,7124,14546,290499,11895,192811,8163,140700,1232
541.leela_r,4051,1380,1201,4,2019,692,82,964,703,286,244,1,3599,452,0,3796,637,460,3634,741,19542,1380,943,26,29873,12770.39791,7.107011,88.5,4000,4051,0,0,51,4,1,0,2995,796,0,43,74,597,3520,35,1435,506,6372,7644,943,982,28438,188,19177,142,13137,12
525.x264_r,14618,8206,5574,21,9195,4067,549,6242,2788,1600,2180,0,12087,2528,3,19491,3314,0,4323,5574,129049,8206,12457,707,160887,23751.0354,19.890802,365.278181,14061,14618,0,1,556,21,5,0,3035,1347,194,489,2037,7820,3612,586,293,1927,41335,61539,5929,16431,172717,1832,128601,1225,66660,0
641.leela_s,4051,1380,1201,4,2019,692,82,964,703,286,244,1,3599,452,0,3796,637,460,3634,741,19542,1380,943,26,29873,12770.39791,7.107011,88.5,4000,4051,0,0,51,4,1,0,2995,796,0,43,74,597,3520,35,1435,506,6372,7644,943,982,28438,188,19177,142,13137,12
602.gcc_s,434915,209764,197601,2391,281205,97447,31061,157155,120871,39773,46236,108,411852,23059,4,647517,184855,0,171914,197493,1708597,209759,113688,99,2428394,226913.2975,1554.058036,18073.36675,412715,434915,0,35,22165,2504,1,0,140998,92165,247,3105,15967,101537,155221,7348,55941,70383,471665,738482,141218,180490,2260841,115463,1686038,39608,971769,25804
605.mcf_s,790,463,287,1,494,240,19,328,148,105,121,0,686,104,0,1042,134,0,156,287,4815,463,363,4,6547,342.370316,1.312629,24,760,790,0,0,30,1,0,0,384,284,0,14,65,242,134,18,32,81,1061,1542,266,518,6925,82,4763,52,2829,28
511.povray_r,27083,15199,9603,307,16760,7288,1124,11219,5029,3123,3352,9,23824,3253,6,38106,7267,154,16931,9380,163784,15199,5240,6884,225299,31892.87762,10.434405,228.583333,26887,27083,0,4,192,376,1025,0,7652,2911,31,205,440,4179,10025,851,2119,2993,46684,51065,10281,30804,230822,6971,162185,3212,82946,1496
623.xalancbmk_s,121895,43264,46243,233,68956,22051,4368,30595,30077,8830,7829,23,113656,8239,0,137737,31500,20894,62893,25337,460648,43264,9481,98,722611,232141.5925,189.895569,2344.952381,120421,121895,0,2,1472,245,1,0,77361,25802,0,8858,3204,7772,59593,1265,21803,10721,88607,146255,22005,22699,694006,10199,453432,6852,332486,1389
657.xz_s,4657,2798,1461,26,3143,999,166,2185,881,493,400,3,3818,839,0,5933,788,0,932,1461,29827,2798,3830,0,39695,3845.499284,5.969788,103,4560,4657,0,0,97,26,0,0,1043,276,45,44,279,2180,738,91,89,552,8190,12061,1930,3671,42021,322,29649,189,13994,44
600.perlbench_s,111851,58092,50616,433,71047,30892,7028,36905,33598,17038,12537,36,105243,6605,3,164390,44886,0,26512,50608,491630,58092,40949,119,669585,23109.57999,133.322375,2644.748795,103955,111851,0,17,7879,441,23,0,30503,24076,71,243,7323,31395,22293,1911,11255,6429,129881,221023,23684,34963,644045,28612,484681,11419,275423,15805
519.lbm_r,200,105,71,0,126,51,4,82,29,10,34,0,173,22,5,247,38,0,205,71,5846,105,1183,660,6450,631.350341,0.25,2,199,200,0,0,1,0,51,0,47,18,0,0,620,975,62,4,4,26,291,1130,78,376,7863,41,5824,25,1491,22
