File,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetch-misses,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses
500.perlbench_r.test,1.91995E+11,2.59017E+11,909091047,9441626,46744840923,750073055,78775,46858104198,748940742,1.02153E+11,1030436123,43109113631,237728917,184902788,3816713454,463416894,2173564,31423905,2756327,4754004,1.02572E+11,37274917,43261617087,5768943,70285695,5840699
502.gcc_r.test,3.81805E+11,5.09087E+11,1837716769,38962905,96108620829,1399493821,376002,96096361523,1403196165,2.08273E+11,3296011431,1.06359E+11,727475900,881729242,3374963020,1286663601,9895140,176850987,24102994,16739575,2.08211E+11,192609337,1.06595E+11,21225113,73469873,22849246
505.mcf_r.test,3.51155E+11,3.25142E+11,5389350817,482600443,53100345881,2319423909,162910,53047418748,2320562201,1.69909E+11,9542092964,57410850773,902501108,4187518285,17979017,6004567485,535838376,320030397,56836826,481665729,1.694E+11,470560961,57252405631,29159790,161126,400775
520.omnetpp_r.test,5.59281E+11,6.08911E+11,2947094972,499881660,1.06149E+11,873068773,86827,1.06164E+11,874563839,2.2897E+11,4032169605,1.80071E+11,1397348405,273528109,1537211172,2387193313,454237320,237665059,44509439,122471947,2.28585E+11,798031339,1.79737E+11,79974479,52559109,7769716
523.xalancbmk_r.test,9.26221E+11,1.18565E+12,1390400371,17346979,2.18595E+11,1837945693,127863,2.18669E+11,1838992446,4.57479E+11,1264164788,3.64549E+11,500292215,164090163,19806509247,420737812,6224340,81645488,5615417,5914149,4.57282E+11,41572418,3.64695E+11,13299252,1563867332,32681932
525.x264_r.test,4.65903E+11,9.99164E+11,515284065,20347726,1.3648E+11,774889278,59537,1.36498E+11,775866512,4.93384E+11,1280041364,1.47761E+11,165099294,639488866,865334654,345929270,16750636,33077145,6963636,21230883,4.92682E+11,35481330,1.47683E+11,3249918,11906312,2155086
531.deepsjeng_r.test,4.64061E+11,6.40332E+11,497153687,293328521,85384507620,2293680806,190688,85401900669,2295509271,2.96603E+11,1183853997,1.16409E+11,453468519,209508708,3746155815,344780070,175656895,131580527,96458553,18489464,2.96257E+11,87231196,1.16509E+11,5626367,88036459,760617
541.leela_r.test,1.25177E+12,2.06229E+12,443496894,1160931,3.05467E+11,5807983883,23548,3.0556E+11,5810555747,7.85236E+11,1391437607,5.87748E+11,317842561,241887528,300305165,314831609,1428803,71615721,1116909,332522,7.8529E+11,21721293,5.87719E+11,2462321,3180358,2005947
557.xz_r.test,2.61641E+11,3.58377E+11,729270348,114747732,44599539834,1230068440,459964,44690268076,1234855621,1.66004E+11,1333813116,65545277952,567294345,174047325,45421869,649772371,79684312,65348692,30120047,7449468,1.64771E+11,326516581,65508372052,16208339,221483,917830
600.perlbench_s.test,1.94049E+11,2.57704E+11,960746870,10481420,46830344003,760954475,78695,46935310067,760151980,1.01863E+11,1081048993,43227566304,237628124,175859790,3766806909,471735825,2711586,31286741,3112466,3388905,1.01714E+11,34900277,42935704203,6952157,62052823,6122157
602.gcc_s.test,3.81503E+11,5.09973E+11,1822757217,38113769,96465308241,1387454786,376138,96183934184,1401254533,2.08227E+11,3316192268,1.06054E+11,738236020,869538431,3474789514,1294414112,12173594,186671342,20772417,13669304,2.08632E+11,189594653,1.0681E+11,21733805,72976770,23256229
605.mcf_s.test,3.53857E+11,3.26102E+11,5442576599,479811700,53244111508,2314997103,162930,53053872309,2316525697,1.70565E+11,9542433697,57470664095,881908629,4245974273,19348366,6085478666,547956105,322904729,55640237,466921935,1.69737E+11,477999968,57277065184,29665830,216706,410695
620.omnetpp_s.test,5.47102E+11,6.08807E+11,2945525924,499855078,1.06199E+11,851611541,86851,1.06235E+11,852863602,2.29026E+11,4010710844,1.80018E+11,1387290121,262578569,1603038610,2387467329,456610412,236858311,44316213,123627895,2.28711E+11,807178879,1.79737E+11,81810946,36735437,43582181
623.xalancbmk_s.test,9.35337E+11,1.18577E+12,1403115519,16222931,2.18608E+11,1875461201,127825,2.18705E+11,1873984181,4.57581E+11,1342266378,3.64857E+11,511954455,173205603,19946461832,421545858,7020497,84583149,7149268,7172675,4.57281E+11,37939408,3.64799E+11,13302961,1688750764,36169050
625.x264_s.test,4.66806E+11,9.99878E+11,508466805,20147914,1.36505E+11,784425235,59568,1.36301E+11,782685971,4.93027E+11,1256888018,1.47871E+11,162023800,634361331,845891813,339749747,16964688,31248339,6265656,20198731,4.92048E+11,34900411,1.47781E+11,3519671,18145429,973932
631.deepsjeng_s.test,5.64106E+11,6.77838E+11,1691082157,1468475383,90641254764,2450579427,1772695,90619269749,2453775421,3.12951E+11,2419145659,1.28271E+11,1599087706,236649685,3952985354,409791958,233714141,1244113697,903117814,23465055,3.12807E+11,118529598,1.28141E+11,49147778,148878626,2556727
641.leela_s.test,1.24801E+12,2.06261E+12,372358174,1315890,3.05471E+11,5735360107,23535,3.05535E+11,5735103430,7.85228E+11,1323437773,5.87684E+11,326234987,240770575,298701950,259809427,1607099,82903910,1033961,367988,7.85268E+11,18130590,5.87778E+11,1594421,4877435,1238506
